シムレド,,,1000,名詞,固有名詞,人名,名,*,*,シムレド,シムレド,シムレド,メイドインアビス辞書
上昇負荷,,,1000,名詞,固有名詞,一般,*,*,*,上昇負荷,ジョウショウフカ,ジョウショウフカ,メイドインアビス辞書
ショウロウ,,,1000,名詞,固有名詞,一般,*,*,*,ショウロウ,ショウロウ,ショウロウ,メイドインアビス辞書
ジルオ,,,1000,名詞,固有名詞,人名,名,*,*,ジルオ,ジルオ,ジルオ,メイドインアビス辞書
白笛,,,1000,名詞,固有名詞,一般,*,*,*,白笛,シロフエ,シロフエ,メイドインアビス辞書
枢機に還す光,,,1000,名詞,固有名詞,一般,*,*,*,枢機に還す光,スウキニカエスヒカリ,スウキニカエスヒカリ,メイドインアビス辞書
鈴付き,,,1000,名詞,固有名詞,一般,*,*,*,鈴付き,スズツキ,スズツキ,メイドインアビス辞書
スパラグモス,,,1000,名詞,固有名詞,一般,*,*,*,スパラグモス,スパラグモス,スパラグモス,メイドインアビス辞書
精神隷属機,,,1000,名詞,固有名詞,一般,*,*,*,精神隷属機,セイシンレイゾクキ,セイシンレイゾクキ,メイドインアビス辞書
絶界行,,,1000,名詞,接尾,サ変接続,*,*,*,絶界行,ゼッカイコウ,ゼッカイコウ,メイドインアビス辞書
前線基地,,,1000,名詞,固有名詞,一般,*,*,*,前線基地,ゼンセンキチ,ゼンセンキチ,メイドインアビス辞書
船団キャラバン,,,1000,名詞,固有名詞,一般,*,*,*,船団キャラバン,センダンキャラバン,センダンキャラバン,メイドインアビス辞書
千人楔,,,1000,名詞,固有名詞,一般,*,*,*,千人楔,センニンクサビ,センニンクサビ,メイドインアビス辞書
殲滅卿,,,1000,名詞,代名詞,一般,*,*,*,殲滅卿,センメツキョウ,センメツキョウ,メイドインアビス辞書
ゾアホリック,,,1000,名詞,固有名詞,一般,*,*,*,ゾアホリック,ゾアホリック,ゾアホリック,メイドインアビス辞書
大断層,,,1000,名詞,固有名詞,地域,一般,*,*,大断層,ダイダンソウ,ダイダンソウ,メイドインアビス辞書
太陽玉,,,1000,名詞,固有名詞,一般,*,*,*,太陽玉,タイヨウギョク,タイヨウギョク,メイドインアビス辞書
タケグマ,,,1000,名詞,固有名詞,一般,*,*,*,タケグマ,タケグマ,タケグマ,メイドインアビス辞書
竹書房,,,1000,名詞,固有名詞,組織,*,*,*,竹書房,タケショボウ,タケショボウ,メイドインアビス辞書
タマウガチ,,,1000,名詞,固有名詞,一般,*,*,*,タマウガチ,タマウガチ,タマウガチ,メイドインアビス辞書
探窟家,,,1000,名詞,代名詞,一般,*,*,*,探窟家,タンクツカ,タンクツカ,メイドインアビス辞書
月に触れる,,,1000,名詞,固有名詞,一般,*,*,*,月に触れる,ツキニフレル,ツキニフレル,メイドインアビス辞書
月笛,,,1000,名詞,固有名詞,一般,*,*,*,月笛,ツキフエ,ツキフエ,メイドインアビス辞書
つくし,,,1000,名詞,固有名詞,人名,姓,*,*,つくし,ツクシ,ツクシ,メイドインアビス辞書
伝報船,,,1000,名詞,固有名詞,一般,*,*,*,伝報船,デンポウセン,デンポウセン,メイドインアビス辞書
トコシエコウ,,,1000,名詞,固有名詞,一般,*,*,*,トコシエコウ,トコシエコウ,トコシエコウ,メイドインアビス辞書
